cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,House,11/2/20,WV-3,7,Challenger experience,0,Turner has never held elected office.,DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,6,Incumbent's voting record in Congress,-.4280542,Miller has voted with Republicans 75% of the time in roll-call votes in recent sessions of Congress.,DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,5,Fundraising,-14.03911,"As of Oct. 14, Miller had raised $342,000 in individual contributions (80% of all such contributions to the major-party candidates); Turner had raised $85,000 (20%).",DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,4,Generic ballot,2.906765,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,3,Incumbent's margin in last election,-4.174503,Miller won by 12.7 percentage points in 2018 in an open-seat race.,DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,2,District partisanship,-9.985361,"WV-3 is 40.0 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,11,Total,-34.48563,"",DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,1,Incumbency,-8.765366,"Miller has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WV-3 has highly distinctive demographics, so incumbency will help Miller a lot there.",DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,7,Challenger experience,0,Kunkel has never held elected office.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,6,Incumbent's voting record in Congress,.2448476,Mooney has voted with Republicans 82% of the time in roll-call votes in recent sessions of Congress.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,5,Fundraising,-10.0577,"As of Oct. 14, Mooney had raised $1,150,000 in individual contributions (67% of all such contributions to the major-party candidates); Kunkel had raised $558,000 (33%).",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,4,Generic ballot,2.325592,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,3,Incumbent's margin in last election,-2.601325,Mooney won by 11.0 percentage points in 2018.,DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,2,District partisanship,-5.46272,"WV-2 is 28.2 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,11,Total,-22.26976,"",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,1,Incumbency,-6.718458,"Mooney has been elected to 3 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WV-2 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Cathy Kunkel,Alex Mooney,Kunkel,Mooney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,7,Challenger experience,0,Cline has never held elected office.,DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,6,Incumbent's voting record in Congress,-.4400925,McKinley has voted with Republicans 74% of the time in roll-call votes in recent sessions of Congress.,DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,5,Fundraising,-13.45325,"As of Oct. 14, McKinley had raised $278,000 in individual contributions (79% of all such contributions to the major-party candidates); Cline had raised $73,000 (21%).",DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,4,Generic ballot,2.808161,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,3,Incumbent's margin in last election,-6.2878,McKinley won by 29.2 percentage points in 2018.,DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,2,District partisanship,-7.850853,"WV-1 is 33.1 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,11,Total,-33.30175,"",DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,1,Incumbency,-8.077912,"McKinley has been elected to 5 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WV-1 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Natalie Cline,David McKinley,Cline,McKinley,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,7,Challenger experience,1.98533,"Stuck has held elected office before. (So has Gallagher, but this is accounted for in our incumbency calculation.)",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,6,Incumbent's voting record in Congress,-.4277201,Gallagher has voted with Republicans 74% of the time in roll-call votes in recent sessions of Congress.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,5,Fundraising,-12.91113,"As of Oct. 14, Gallagher had raised $2,158,000 in individual contributions (85% of all such contributions to the major-party candidates); Stuck had raised $368,000 (15%).",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,4,Generic ballot,2.562479,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,3,Incumbent's margin in last election,-5.448081,Gallagher won by 27.4 percentage points in 2018.,DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,2,District partisanship,-3.732934,"WI-8 is 17.8 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,11,Total,-25.00927,"",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,1,Incumbency,-7.03722,"Gallagher has been elected to 2 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-8 has nationally representative demographics, so incumbency won't help Gallagher as much there.",DR,Amanda Stuck,Mike Gallagher,Stuck,Gallagher,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,7,Challenger experience,1.497591,"Zunker has held elected office before. (So has Tiffany, but this is accounted for in our incumbency calculation.)",DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,6,Incumbent's voting record in Congress,.786754,"Tiffany has voted with Republicans 90% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,5,Fundraising,-8.237441,"As of Oct. 14, Tiffany had raised $2,115,000 in individual contributions (66% of all such contributions to the major-party candidates); Zunker had raised $1,103,000 (34%).",DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,4,Generic ballot,1.932951,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,3,Incumbent's margin in last election,-2.899874,Tiffany won by 14.4 percentage points in a special election.,DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,2,District partisanship,-3.086186,"WI-7 is 19.4 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,11,Total,-15.55661,"",DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,1,Incumbency,-5.550404,"Tiffany has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-7 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Tricia Zunker,Thomas P. Tiffany,Zunker,Tiffany,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,7,Challenger experience,1.631999,"King has held elected office before. (So has Grothman, but this is accounted for in our incumbency calculation.)",DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,6,Incumbent's voting record in Congress,.2904172,Grothman has voted with Republicans 82% of the time in roll-call votes in recent sessions of Congress.,DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,5,Fundraising,-10.44674,"As of Oct. 14, Grothman had raised $1,147,000 in individual contributions (83% of all such contributions to the major-party candidates); King had raised $228,000 (17%).",DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,4,Generic ballot,2.106432,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,3,Incumbent's margin in last election,-2.358917,Grothman won by 11.0 percentage points in 2018.,DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,2,District partisanship,-3.197974,"WI-6 is 18.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,11,Total,-17.79791,"",DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,1,Incumbency,-5.823133,"Grothman has been elected to 3 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-6 has nationally representative demographics, so incumbency won't help Grothman as much there.",DR,Jessica J. King,Glenn Grothman,King,Grothman,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Tom Palzewicz,Scott Fitzgerald,Palzewicz,Fitzgerald,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,7,Candidate experience,-.2364748,Fitzgerald has held elected office before but Palzewicz hasn't.,DR,Tom Palzewicz,Scott Fitzgerald,Palzewicz,Fitzgerald,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,5,Fundraising,-3.716425,"As of Oct. 14, Fitzgerald had raised $755,000 in individual contributions (70% of all such contributions to the major-party candidates); Palzewicz had raised $323,000 (30%).",DR,Tom Palzewicz,Scott Fitzgerald,Palzewicz,Fitzgerald,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,4,Generic ballot,6.10248,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Tom Palzewicz,Scott Fitzgerald,Palzewicz,Fitzgerald,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,2,District partisanship,-23.06171,"WI-5 is 26.0 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Tom Palzewicz,Scott Fitzgerald,Palzewicz,Fitzgerald,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,11,Total,-20.91213,"",DR,Tom Palzewicz,Scott Fitzgerald,Palzewicz,Fitzgerald,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,7,Challenger experience,0,Rogers has never held elected office.,DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,6,Incumbent's voting record in Congress,-2.529505,"Moore has voted with Democrats 95% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,5,Fundraising,9.443192,"As of Oct. 14, Moore had raised $291,000 in individual contributions (100% of all such contributions to the major-party candidates); Rogers had raised $0 (0%).",DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,4,Generic ballot,4.139793,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,3,Incumbent's margin in last election,11.42275,Moore won by 54.0 percentage points in 2018.,DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,2,District partisanship,17.25351,"WI-4 is 47.3 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,11,Total,51.88424,"",DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,1,Incumbency,12.1545,"Moore has been elected to 8 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-4 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Gwen Moore,Tim Rogers,Moore,Rogers,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,7,Challenger experience,0,Van Orden has never held elected office.,DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,6,Incumbent's voting record in Congress,-.7316383,"Kind has voted with Democrats 90% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,5,Fundraising,-.6101355,"As of Oct. 14, Van Orden had raised $1,636,000 in individual contributions (67% of all such contributions to the major-party candidates); Kind had raised $820,000 (33%).",DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,4,Generic ballot,1.752323,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,3,Incumbent's margin in last election,1.064839,Kind won by 19.3 percentage points in 2018.,DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,2,District partisanship,-.5892422,"WI-3 is 4.1 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Obama in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,11,Total,5.796027,"",DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,1,Incumbency,4.90988,"Kind has been elected to 12 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-3 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Ron Kind,Derrick Van Orden,Kind,Van Orden,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,7,Challenger experience,0,Theron has never held elected office.,DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,6,Incumbent's voting record in Congress,-2.582313,"Pocan has voted with Democrats 95% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,5,Fundraising,8.962379,"As of Oct. 14, Pocan had raised $650,000 in individual contributions (96% of all such contributions to the major-party candidates); Theron had raised $28,000 (4%).",DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,4,Generic ballot,4.23646,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,3,Incumbent's margin in last election,11.52081,"Pocan won by 94.9 percentage points in 2018, but did not face major-party opposition.",DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,2,District partisanship,11.54691,"WI-2 is 32.4 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,11,Total,45.7652,"",DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,1,Incumbency,12.08096,"Pocan has been elected to 4 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-2 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Mark Pocan,Peter Theron,Pocan,Theron,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,7,Challenger experience,0,Polack has never held elected office.,DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,6,Incumbent's voting record in Congress,-.8535768,Steil has voted with Republicans 68% of the time in roll-call votes in recent sessions of Congress.,DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,5,Fundraising,-10.86617,"As of Oct. 14, Steil had raised $1,844,000 in individual contributions (80% of all such contributions to the major-party candidates); Polack had raised $471,000 (20%).",DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,4,Generic ballot,2.25838,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,3,Incumbent's margin in last election,-3.182561,Steil won by 12.3 percentage points in 2018 in an open-seat race.,DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,2,District partisanship,-2.408693,"WI-1 is 13.1 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wisconsin has been considerably more Republican in state legislative elections than in presidential elections.",DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,11,Total,-21.17759,"",DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,1,Incumbency,-6.124971,"Steil has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WI-1 has nationally representative demographics, so incumbency won't help Steil as much there.",DR,Roger Polack,Bryan Steil,Polack,Steil,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,9,Top-two primary margin,23.37296,"Democrats won the aggregate vote by 49.9 percentage points in the August primary. However, turnout patterns can differ in the general election, so the model compares the primary result to others in Washington. On that basis, it treats the primary result as equivalent to a 57.8-point win for Democrats.",DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,7,Challenger experience,0,Basler has never held elected office.,DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,6,Incumbent's voting record in Congress,-1.388425,"Smith has voted with Democrats 94% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,5,Fundraising,5.534866,"As of Oct. 14, Smith had raised $486,000 in individual contributions (97% of all such contributions to the major-party candidates); Basler had raised $14,000 (3%).",DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,4,Generic ballot,2.549675,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,3,Incumbent's margin in last election,7.929363,"Smith won by 35.8 percentage points in 2018, but did not face major-party opposition.",DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,2,District partisanship,9.748655,"WA-9 is 43.9 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012. Washington has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,11,Total,55.84932,"",DR,Adam Smith,Doug Basler,Smith,Basler,20:52:33  2 Nov 2020
