cycle,branch,forecastdate,expression,DsenateDhouseDpotus,DsenateRhouseDpotus,RsenateDhouseDpotus,RsenateRhouseDpotus,DsenateDhouseRpotus,DsenateRhouseRpotus,RsenateDhouseRpotus,RsenateRhouseRpotus,timestamp
2020,Congress,10/15/20,_lite,.754075,.000125,.112475,.000925,.034825,.0003,.0818,.015475,23:28:20 15 Oct 2020
2020,Congress,10/14/20,_lite,.7558,.0003,.11045,.001575,.0359,.000375,.0795,.0161,20:31:15 14 Oct 2020
2020,Congress,10/13/20,_lite,.7346,.000225,.129875,.00115,.032375,.000075,.085375,.016325,22:22:14 13 Oct 2020
2020,Congress,10/12/20,_lite,.72765,.0005,.132325,.00255,.031375,.000425,.08295,.022225,20:22:45 12 Oct 2020
2020,Congress,10/11/20,_lite,.7251,.000275,.134775,.0021,.0329,.0003,.084875,.019675,20:34:22 11 Oct 2020
2020,Congress,10/10/20,_lite,.71845,.000275,.13255,.001625,.03545,.000375,.09075,.020525,20:09:29 10 Oct 2020
2020,Congress,10/9/20,_lite,.71165,.000225,.137225,.002225,.03495,.000375,.0909,.02245,20:09:27  9 Oct 2020
2020,Congress,10/8/20,_lite,.709375,.00035,.134225,.001925,.035725,.0004,.0956,.0224,21:31:18  8 Oct 2020
2020,Congress,10/7/20,_lite,.6994,.000375,.139475,.002325,.0354,.0005,.095175,.02735,21:39:25  7 Oct 2020
2020,Congress,10/6/20,_lite,.699225,.000575,.1257,.002025,.044275,.000675,.099875,.02765,21:58:37  6 Oct 2020
2020,Congress,10/5/20,_lite,.689,.000875,.12365,.003875,.04675,.001275,.098675,.0359,21:25:12  5 Oct 2020
2020,Congress,10/4/20,_lite,.6811,.000925,.12575,.005075,.0431,.0016,.0982,.04425,20:09:26  4 Oct 2020
2020,Congress,10/3/20,_lite,.66215,.00185,.13185,.00655,.0469,.0019,.10085,.04795,20:09:26  3 Oct 2020
2020,Congress,10/2/20,_lite,.67055,.001,.118125,.0049,.0514,.0017,.105725,.0466,20:09:23  2 Oct 2020
2020,Congress,10/1/20,_lite,.66685,.0016,.12395,.006575,.0489,.001725,.102075,.048325,20:09:24  1 Oct 2020
2020,Congress,9/30/20,_lite,.65625,.00145,.1234,.0049,.052,.00205,.1094,.05055,20:33:57 30 Sep 2020
2020,Congress,9/29/20,_lite,.655575,.001375,.120125,.005775,.054925,.002375,.108975,.050875,20:09:14 29 Sep 2020
2020,Congress,9/28/20,_lite,.64095,.001075,.130475,.00565,.051875,.001875,.11755,.05055,20:09:59 28 Sep 2020
2020,Congress,9/27/20,_lite,.64175,.0011,.126925,.005375,.054325,.00155,.119925,.04905,20:09:24 27 Sep 2020
2020,Congress,9/26/20,_lite,.63945,.00085,.127975,.00495,.05505,.00135,.123,.047375,20:09:26 26 Sep 2020
2020,Congress,9/25/20,_lite,.63285,.0009,.1317,.004125,.054825,.00145,.125525,.048625,22:57:06 25 Sep 2020
2020,Congress,9/24/20,_lite,.637875,.00135,.1254,.00515,.056875,.00215,.12025,.05095,20:09:34 24 Sep 2020
2020,Congress,9/23/20,_lite,.64265,.00155,.123475,.006,.054325,.0021,.113625,.056275,20:14:13 23 Sep 2020
2020,Congress,11/2/20,_deluxe,.719625,.001,.17195,.005,.017675,.000525,.0611,.023125,20:31:29  2 Nov 2020
2020,Congress,11/1/20,_deluxe,.7348,.0011,.156375,.004425,.019675,.00085,.0621,.020675,23:31:42  1 Nov 2020
2020,Congress,10/31/20,_deluxe,.7479,.00115,.1449,.003625,.021125,.000775,.061925,.0186,22:02:28 31 Oct 2020
2020,Congress,10/30/20,_deluxe,.754875,.001025,.137475,.002775,.02235,.0008,.061475,.019225,21:39:34 30 Oct 2020
2020,Congress,10/29/20,_deluxe,.748375,.00075,.135875,.002825,.023425,.0008,.067725,.020225,22:22:29 29 Oct 2020
2020,Congress,10/28/20,_deluxe,.72545,.0007,.154425,.00325,.0226,.000575,.072125,.020875,21:42:27 28 Oct 2020
2020,Congress,10/27/20,_deluxe,.708625,.0017,.1632,.005375,.021,.001175,.0684,.030525,21:09:24 27 Oct 2020
2020,Congress,10/26/20,_deluxe,.708175,.0017,.159925,.005775,.02325,.0011,.06985,.030225,21:26:28 26 Oct 2020
2020,Congress,10/25/20,_deluxe,.705875,.0014,.15875,.006075,.023325,.00145,.071625,.0315,20:09:58 25 Oct 2020
2020,Congress,10/24/20,_deluxe,.7036,.001325,.1538,.005375,.023725,.001325,.078375,.032475,21:04:43 24 Oct 2020
2020,Congress,10/23/20,_deluxe,.7013,.001775,.1599,.007125,.0213,.001175,.07465,.032775,22:24:40 23 Oct 2020
2020,Congress,10/22/20,_deluxe,.713725,.0015,.15345,.00525,.02295,.001175,.07035,.0316,20:09:52 22 Oct 2020
2020,Congress,10/21/20,_deluxe,.7144,.0019,.14915,.00585,.021625,.001425,.07035,.0353,21:19:27 21 Oct 2020
2020,Congress,10/20/20,_deluxe,.720225,.002225,.14375,.00635,.023275,.00145,.067075,.03565,22:22:23 20 Oct 2020
2020,Congress,10/19/20,_deluxe,.71345,.00215,.154675,.007675,.0192,.00175,.06395,.03715,22:02:22 19 Oct 2020
2020,Congress,10/18/20,_deluxe,.714825,.0023,.1516,.0081,.020025,.0016,.0627,.03885,21:30:18 18 Oct 2020
2020,Congress,10/17/20,_deluxe,.7078,.0027,.15695,.0076,.0194,.0018,.0646,.03915,21:09:57 17 Oct 2020
2020,Congress,10/16/20,_deluxe,.7042,.0018,.157325,.006725,.020825,.001875,.06945,.0378,21:17:51 16 Oct 2020
2020,Congress,10/15/20,_deluxe,.701175,.001625,.159625,.005275,.021075,.0012,.07455,.035475,23:28:20 15 Oct 2020
2020,Congress,10/14/20,_deluxe,.706475,.00185,.152875,.007,.023325,.0014,.070375,.0367,20:31:15 14 Oct 2020
2020,Congress,10/13/20,_deluxe,.67425,.0017,.183025,.007175,.017975,.00115,.07525,.039475,22:22:14 13 Oct 2020
2020,Congress,10/12/20,_deluxe,.662925,.001875,.189775,.0086,.0168,.001,.074125,.0449,20:22:45 12 Oct 2020
2020,Congress,10/11/20,_deluxe,.664275,.002075,.188025,.007925,.017975,.0013,.07675,.041675,20:34:22 11 Oct 2020
2020,Congress,10/10/20,_deluxe,.65785,.001725,.18625,.00695,.0183,.001175,.0839,.04385,20:09:29 10 Oct 2020
2020,Congress,10/9/20,_deluxe,.654325,.0016,.187325,.00815,.01915,.001325,.08205,.046075,20:09:27  9 Oct 2020
2020,Congress,10/8/20,_deluxe,.653775,.001525,.182625,.007775,.0196,.0014,.086525,.046775,21:31:18  8 Oct 2020
2020,Congress,10/7/20,_deluxe,.64235,.00215,.188875,.008325,.0181,.001725,.087975,.0505,21:39:25  7 Oct 2020
2020,Congress,10/6/20,_deluxe,.6389,.001825,.17905,.007675,.02245,.001575,.0958,.052725,21:58:37  6 Oct 2020
2020,Congress,10/5/20,_deluxe,.63115,.0024,.174725,.00915,.025075,.001975,.094725,.0608,21:25:12  5 Oct 2020
2020,Congress,10/4/20,_deluxe,.61255,.002975,.186325,.01105,.023525,.00265,.090125,.0708,20:09:26  4 Oct 2020
2020,Congress,10/3/20,_deluxe,.5975,.00335,.1884,.0129,.0245,.002275,.096825,.07425,20:09:26  3 Oct 2020
2020,Congress,10/2/20,_deluxe,.609875,.00285,.1718,.01,.0275,.002475,.10245,.07305,20:09:23  2 Oct 2020
2020,Congress,10/1/20,_deluxe,.602475,.003175,.179975,.01355,.02535,.002075,.0977,.0757,20:09:24  1 Oct 2020
2020,Congress,9/30/20,_deluxe,.589375,.002725,.182575,.011275,.026,.0029,.105575,.079575,20:33:57 30 Sep 2020
2020,Congress,9/29/20,_deluxe,.590625,.002875,.177725,.011675,.02615,.0024,.1077,.08085,20:09:14 29 Sep 2020
2020,Congress,9/28/20,_deluxe,.580775,.00315,.182975,.011375,.027225,.002775,.11125,.080475,20:09:59 28 Sep 2020
2020,Congress,9/27/20,_deluxe,.58335,.0027,.177825,.011275,.028725,.00255,.11465,.078925,20:09:24 27 Sep 2020
2020,Congress,9/26/20,_deluxe,.5839,.0027,.1762,.010525,.02905,.0028,.11745,.077375,20:09:26 26 Sep 2020
2020,Congress,9/25/20,_deluxe,.5781,.002525,.1798,.00915,.02935,.002625,.11855,.0799,22:57:06 25 Sep 2020
2020,Congress,9/24/20,_deluxe,.586375,.00265,.1698,.01095,.0316,.00295,.1154,.080275,20:09:34 24 Sep 2020
2020,Congress,9/23/20,_deluxe,.5822,.0035,.17625,.011725,.0291,.002375,.110025,.084825,20:14:13 23 Sep 2020
2020,Congress,11/2/20,_classic,.749325,.002125,.13945,.006675,.0209,.001225,.0528,.0275,20:31:29  2 Nov 2020
2020,Congress,11/1/20,_classic,.7582,.001875,.13065,.005975,.02315,.00145,.054125,.024575,23:31:42  1 Nov 2020
2020,Congress,10/31/20,_classic,.77105,.001925,.119875,.004725,.024725,.001525,.054875,.0213,22:02:28 31 Oct 2020
2020,Congress,10/30/20,_classic,.77645,.001475,.114125,.0041,.025875,.001075,.0539,.023,21:39:34 30 Oct 2020
2020,Congress,10/29/20,_classic,.76795,.0011,.115125,.00365,.027175,.00125,.060075,.023675,22:22:29 29 Oct 2020
2020,Congress,10/28/20,_classic,.7591,.00115,.1194,.004175,.02865,.001175,.062225,.024125,21:42:27 28 Oct 2020
2020,Congress,10/27/20,_classic,.743075,.0027,.1265,.006625,.025425,.00205,.05955,.034075,21:09:24 27 Oct 2020
2020,Congress,10/26/20,_classic,.740675,.00215,.125475,.007275,.029525,.00185,.059275,.033775,21:26:28 26 Oct 2020
2020,Congress,10/25/20,_classic,.740025,.002475,.1229,.0067,.02985,.0022,.060275,.035575,20:09:58 25 Oct 2020
2020,Congress,10/24/20,_classic,.7355,.001975,.119925,.0067,.0305,.002275,.06565,.037475,21:04:43 24 Oct 2020
2020,Congress,10/23/20,_classic,.7351,.00265,.124075,.008275,.027975,.00215,.0625,.037275,22:24:40 23 Oct 2020
2020,Congress,10/22/20,_classic,.74695,.002375,.1182,.0064,.027575,.001775,.061025,.0357,20:09:52 22 Oct 2020
2020,Congress,10/21/20,_classic,.74475,.002975,.11645,.007125,.027975,.0024,.0598,.038525,21:19:27 21 Oct 2020
2020,Congress,10/20/20,_classic,.753275,.00335,.108275,.00765,.0281,.002775,.05715,.039425,22:22:23 20 Oct 2020
2020,Congress,10/19/20,_classic,.75345,.00345,.112025,.009025,.024875,.003225,.053525,.040425,22:02:22 19 Oct 2020
2020,Congress,10/18/20,_classic,.7554,.003975,.107,.01045,.02625,.003025,.0515,.0424,21:30:18 18 Oct 2020
2020,Congress,10/17/20,_classic,.746375,.003725,.115625,.009325,.025925,.003375,.053525,.042125,21:09:57 17 Oct 2020
2020,Congress,10/16/20,_classic,.735875,.002975,.123275,.007925,.026475,.002925,.05955,.041,21:17:51 16 Oct 2020
2020,Congress,10/15/20,_classic,.730375,.001975,.128925,.006425,.02545,.001675,.066575,.0386,23:28:20 15 Oct 2020
2020,Congress,10/14/20,_classic,.73195,.0029,.125775,.007575,.0272,.0021,.0632,.0393,20:31:15 14 Oct 2020
2020,Congress,10/13/20,_classic,.701375,.00265,.153575,.00855,.0218,.001675,.068075,.0423,22:22:14 13 Oct 2020
2020,Congress,10/12/20,_classic,.695725,.00305,.1543,.0101,.021225,.002125,.0653,.048175,20:22:45 12 Oct 2020
2020,Congress,10/11/20,_classic,.6958,.00325,.154225,.009025,.02255,.0018,.0679,.04545,20:34:22 11 Oct 2020
2020,Congress,10/10/20,_classic,.691,.00225,.150725,.0088,.0237,.002,.073175,.04835,20:09:29 10 Oct 2020
2020,Congress,10/9/20,_classic,.687375,.002575,.151725,.009725,.02455,.002075,.071825,.05015,20:09:27  9 Oct 2020
2020,Congress,10/8/20,_classic,.685525,.00245,.14865,.009075,.025225,.0024,.075625,.05105,21:31:18  8 Oct 2020
2020,Congress,10/7/20,_classic,.676225,.002975,.15295,.00955,.023825,.002475,.0778,.0542,21:39:25  7 Oct 2020
2020,Congress,10/6/20,_classic,.67195,.002175,.144925,.0084,.0298,.0023,.0838,.05665,21:58:37  6 Oct 2020
2020,Congress,10/5/20,_classic,.66665,.004225,.135425,.011125,.032175,.003625,.080375,.0664,21:25:12  5 Oct 2020
2020,Congress,10/4/20,_classic,.650325,.004675,.14525,.01265,.029625,.00405,.0774,.076025,20:09:26  4 Oct 2020
2020,Congress,10/3/20,_classic,.63285,.0055,.1484,.0154,.03105,.004175,.082075,.08055,20:09:26  3 Oct 2020
2020,Congress,10/2/20,_classic,.6466,.004875,.13135,.0117,.034525,.0047,.08695,.0793,20:09:23  2 Oct 2020
2020,Congress,10/1/20,_classic,.64145,.005825,.135575,.016325,.03295,.004575,.080425,.082875,20:09:24  1 Oct 2020
2020,Congress,9/30/20,_classic,.635325,.00515,.132475,.013,.035575,.00535,.0869,.086225,20:33:57 30 Sep 2020
2020,Congress,9/29/20,_classic,.63465,.00535,.1292,.0137,.036425,.004975,.087075,.088625,20:09:14 29 Sep 2020
2020,Congress,9/28/20,_classic,.6245,.0048,.135575,.0134,.0363,.0052,.094075,.08615,20:09:59 28 Sep 2020
2020,Congress,9/27/20,_classic,.626275,.004525,.131325,.013025,.0377,.00465,.097025,.085475,20:09:24 27 Sep 2020
2020,Congress,9/26/20,_classic,.624075,.004475,.132,.012775,.03795,.004675,.09985,.0842,20:09:26 26 Sep 2020
2020,Congress,9/25/20,_classic,.618475,.0046,.136275,.010225,.038325,.005275,.0994,.087425,22:57:06 25 Sep 2020
2020,Congress,9/24/20,_classic,.6265,.004025,.1263,.01295,.0417,.005225,.096425,.086875,20:09:34 24 Sep 2020
2020,Congress,9/23/20,_classic,.621175,.00595,.13245,.0141,.037925,.00445,.0921,.09185,20:14:13 23 Sep 2020
