cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,lower_bin_text,upper_bin_text,ecwin_inc,ecwin_chal,ecwin_3rd,ecwin_nomajority,total_ev_inc,ev_inc_hi,ev_inc_lo,total_ev_chal,ev_chal_hi,ev_chal_lo,count,timestamp,simulations
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +4,Biden +3,.2200097,.7532783,0,.026712,254.6251,280,227,283.3749,311,258,2059,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +3,Biden +2,.4640479,.5119841,0,.023968,268.4847,294,244,269.5153,294,244,1502,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +2,Biden +1,.6932693,.2884615,0,.0182692,280.9135,306,258,257.0865,280,232,1040,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +27,Biden +26,0,1,0,0,43.66667,70,4,494.3333,534,468,3,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +26,Biden +25,0,1,0,0,40.33333,76,8,497.6667,530,462,3,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +25,Biden +24,0,1,0,0,59.41667,77,43,478.5833,495,461,12,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +24,Biden +23,0,1,0,0,56.42105,85,13,481.5789,525,453,19,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +23,Biden +22,0,1,0,0,61.73077,82,43,476.2692,495,456,26,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +22,Biden +21,0,1,0,0,77.32433,107,52,460.6757,486,431,37,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +21,Biden +20,0,1,0,0,72.48889,104,37,465.5111,501,434,45,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +20,Biden +19,0,1,0,0,82.39507,108,51,455.6049,487,430,81,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +1,TIE,.8851744,.1031977,0,.0116279,295.6686,322,268,242.3314,270,216,688,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +19,Biden +18,0,1,0,0,90.91071,120,59,447.0893,479,418,168,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +18,Biden +17,0,1,0,0,97.95652,123,69.5,440.0435,468.5,415,230,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +17,Biden +16,0,1,0,0,103.3227,125,74,434.6773,464,413,375,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +16,Biden +15,0,1,0,0,106.7834,126,78,431.2166,460,412,568,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +15,Biden +14,0,1,0,0,114.4589,134,86,423.5411,452,404,900,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +14,Biden +13,0,1,0,0,121.6781,157,95,416.3219,443,381,1373,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +13,Biden +12,0,1,0,0,128.1631,163,100,409.8369,438,375,1815,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +12,Biden +11,0,1,0,0,136.7956,177,110,401.2044,428,361,2505,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +11,Biden +10,0,1,0,0,148.3273,187,119,389.6727,419,351,3248,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +10,Biden +9,0,1,0,0,161.9254,203,125,376.0746,413,335,3714,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +9,Trump +10,1,0,0,0,370.9091,389,355,167.0909,183,149,11,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +8,Trump +9,1,0,0,0,372.9412,418,355,165.0588,183,120,17,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +7,Trump +8,1,0,0,0,367.4118,381,346,170.5882,192,157,17,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +6,Trump +7,1,0,0,0,356.5,375,341,181.5,197,163,22,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +5,Trump +6,1,0,0,0,351.0513,371,331,186.9487,207,167,39,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +4,Trump +5,1,0,0,0,349.025,362,333,188.975,205,176,80,22:17:03 29 Oct 2020,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,"",Trump +3,Trump +4,1,0,0,0,335.2455,351.5,317.5,202.7545,220.5,186.5,110,22:17:03 29 Oct 2020,40000
