cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/26/2020,10/29/2020,Redfield & Wilton Strategies,800,lv,.7683412,.6802172,53,54.01583,54.00163,"",72737,136511
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/29/2020,11/1/2020,Change Research,553,lv,.6276617,.6095589,53,53.30186,53.29064,"",72731,136502
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/20/2020,11/1/2020,SurveyMonkey,2475,lv,.4227432,.3086269,54,52.37038,52.37003,T,72665,136418
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/31/2020,11/1/2020,Research Co.,450,lv,.74682,.74682,50,50.40421,50.40489,"",72630,136294
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/22/2020,10/31/2020,Morning Consult,1002,lv,.8367525,.6390671,53.8,53.6946,53.6398,T,72615,136263
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/29/2020,11/1/2020,Civiqs,789,lv,.8648398,.8400418,51,50.4018,50.41409,"",72576,136205
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/18/2020,10/31/2020,SurveyMonkey,2554,lv,.0625891,.0436271,54,52.37038,52.35938,T,72527,136149
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/27/2020,11/1/2020,Ipsos,696,lv,.81683,.7687339,53,53.49735,53.50607,"",72505,136066
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/30/2020,10/31/2020,AtlasIntel,781,lv,.8683004,.8434032,50.6,50.96868,50.9622,"",72502,136060
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/26/2020,10/30/2020,Siena College/The New York Times Upshot,1253,lv,2.479183,2.194836,52,52.28531,52.28444,"",72481,136019
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/17/2020,10/30/2020,SurveyMonkey,2509,lv,.0313402,.0207626,54,52.37038,52.35645,T,72426,135952
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/29/2020,10/31/2020,Susquehanna Polling & Research Inc.,450,lv,.6140093,.5784709,49,50.43678,50.45314,"",72419,135892
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/23/2020,10/30/2020,SSRS,873,lv,1.193906,1.022739,52,51.41158,51.394,"",72415,135874
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/29/2020,10/30/2020,Emerson College,751,lv,1.316502,1.241005,52.7,52.11238,52.09497,"",72409,135866
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/16/2020,10/29/2020,SurveyMonkey,2456,lv,.0306238,.0193251,53,51.36814,51.35229,T,72347,135787
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/24/2020,10/25/2020,Trafalgar Group,1082,lv,.5760012,.4563919,47.5,50.49518,50.48941,"",72338,135722
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/23/2020,10/26/2020,Swayable,313,lv,.3810264,.3045489,53.7,53.38572,53.3644,"",72310,135650
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/1/2020,10/28/2020,SurveyMonkey,4569,lv,.3946704,.1266498,55,53.37346,53.38736,T,72244,135584
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/21/2020,10/25/2020,Marquette University Law School,749,lv,1.54565,1.01382,48,48.00657,47.95363,"",72151,135295
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/30/2020,10/27/2020,SurveyMonkey,4531,lv,.0270972,.007799,55,53.37346,53.3922,T,72090,135217
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/20/2020,10/25/2020,ABC News/The Washington Post,809,lv,1.741548,1.142313,57,55.70536,55.66063,"",72075,135124
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/27/2020,10/25/2020,SurveyMonkey,4466,lv,.0948763,.0205059,55,53.37346,53.43848,T,71980,134983
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/20/2020,10/26/2020,Ipsos,664,lv,.646687,.4158697,53,53.49735,53.45875,"",71975,134924
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/13/2020,10/21/2020,YouGov,647,lv,.6455007,.2547504,53,53.24256,53.2213,"",71948,134867
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,4465,lv,.0336393,.0067633,55,53.37346,53.45665,T,71895,134809
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/23/2020,10/23/2020,Gravis Marketing,677,lv,.8121232,.6025457,54,53.54197,53.5063,"",71877,134726
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/25/2020,10/23/2020,SurveyMonkey,4490,lv,.0363367,.0067492,55,53.37346,53.47674,T,71828,134674
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,4528,lv,0,0,55,53.37346,53.55873,T,71767,134543
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,4540,lv,.0468335,.0056288,55,53.37346,53.57312,T,71684,134344
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/14/2020,10/20/2020,RMG Research,800,lv,.8138771,.3238068,50,50.63076,50.60976,"",71660,134247
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/11/2020,10/20/2020,Morning Consult,1038,lv,.7412951,.2423736,54,53.89464,53.84902,T,71648,134220
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/17/2020,10/20/2020,Fox News/Beacon Research/Shaw & Co. Research,1037,lv,1.763129,.8025832,49,49.16705,49.11239,"",71628,134186
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/22/2020,10/20/2020,SurveyMonkey,4513,lv,.0903983,.0100503,55,53.37346,53.59124,T,71571,134119
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Susquehanna Polling & Research Inc.,500,lv,.6114221,.2517355,45,46.43008,46.41724,"",71559,134051
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/14/2020,10/19/2020,Latino Decisions,400,lv,.5343021,.2125759,50,48.9816,48.96537,"",71552,134036
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Change Research,447,lv,.4710765,.1895108,52,52.30227,52.25914,"",71524,133962
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/21/2020,10/19/2020,SurveyMonkey,4511,lv,.0464624,.0046674,55,53.37346,53.60956,T,71469,133907
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,4575,lv,0,0,55,53.37346,53.62728,T,71384,133723
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/13/2020,10/19/2020,Ipsos,663,lv,.6555364,.2163043,51,51.49849,51.48958,"",71380,133665
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/14/2020,10/16/2020,Trafalgar Group,1051,lv,.3758389,.119559,47.6,50.59533,50.60427,"",71365,133639
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,4571,lv,.0510709,.0038356,55,53.37346,53.6503,T,71302,133562
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/13/2020,10/16/2020,YouGov,1112,lv,1.087865,.3682647,51,51.24308,51.23289,"",71296,133501
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,4565,lv,.0522265,.0032829,55,53.37346,53.6798,T,71244,133445
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,4513,lv,.0533252,.0026885,55,53.37346,53.70744,T,71183,133318
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/17/2020,10/14/2020,SurveyMonkey,4425,lv,.0545005,.0020625,54,52.37038,52.72897,T,71109,133168
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Civiqs,560,lv,.5084625,.1256184,53,51.65783,51.70103,"",71102,133105
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/11/2020,10/13/2020,Trafalgar Group,1043,lv,.3856435,.1077627,47.3,50.29485,50.3234,"",71095,133085
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,4414,lv,.0575059,.0014427,54,52.37038,52.75391,T,71015,132961
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/10/2020,10/13/2020,David Binder Research,200,lv,.3355042,.098664,53,51.26656,51.27545,"",71004,132878
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,4397,lv,.0599502,.0007249,54,52.37038,52.78184,T,70974,132804
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/2/2020,10/11/2020,Morning Consult,1067,lv,.782863,.1333847,51,50.89425,51.00032,T,70763,132372
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/6/2020,10/11/2020,Ipsos,577,lv,.622822,.1197647,51.5,51.9983,52.09852,"",70740,132338
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Siena College/The New York Times Upshot,789,lv,1.614072,.4212309,51,51.28554,51.32274,"",70738,132335
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/30/2020,10/8/2020,Baldwin Wallace University,883,lv,.7271249,.1125424,49.2,49.62834,49.7895,"",70722,132291
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/4/2020,10/7/2020,Redfield & Wilton Strategies,688,lv,.6738021,.1012227,51,52.01843,52.17713,"",70711,132265
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/30/2020,10/4/2020,Marquette University Law School,700,lv,1.453999,.1350277,47,47.00657,47.24664,"",70646,132105
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,10/2/2020,10/4/2020,Change Research,442,lv,.5365732,.0565028,51,51.30253,51.51151,"",70609,132014
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/29/2020,10/5/2020,Ipsos,601,lv,.7690839,.0337683,50,50.49868,50.83497,"",70584,131967
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,813,lv,.5069495,0,50.57,48.93618,50.29094,"",70449,131303
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,2173,lv,.6109986,0,50.24,48.6063,50.08902,"",70399,131201
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,1913,lv,.6009769,0,48.38,46.74863,48.00436,"",70349,131099
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,3806,lv,.5576087,0,53.45,51.81905,52.73856,T,70297,130992
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/25/2020,9/28/2020,Trafalgar Group,1084,lv,.4016126,0,47.2,50.19465,50.82025,"",70143,130683
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/23/2020,9/27/2020,Redfield & Wilton Strategies,663,lv,.5794539,0,48,49.01845,49.69208,"",70128,130655
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/23/2020,9/26/2020,Susquehanna Polling & Research Inc.,500,lv,.6815998,0,48,49.4362,50.13606,"",70025,130437
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/22/2020,9/25/2020,Trafalgar Group,1189,lv,.437034,0,47.7,50.69546,51.43897,"",70014,130422
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/20/2020,9/24/2020,Marist College,727,lv,1.480951,0,54,53.04608,53.84638,"",69996,130357
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/17/2020,9/19/2020,Garin-Hart-Yang Research Group,400,lv,.565323,0,51,49.60054,50.49635,"",69985,130330
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/10/2020,9/21/2020,YouGov,664,lv,.8814368,0,50,50.24316,51.21194,"",69716,130007
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/8/2020,9/22/2020,Baldwin Wallace University,863,lv,.7211198,0,50.3,50.72834,51.71036,"",69703,129963
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/18/2020,9/20/2020,Change Research,571,lv,.5900781,0,51,51.30253,52.17705,"",69686,129908
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,6/20/2020,6/24/2020,Ogden & Fry,825,lv,.8871915,0,45.2,46.29494,47.62278,"",69632,129821
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/11/2020,9/16/2020,Ipsos,609,lv,.8722953,0,48,48.4983,49.51872,"",69627,129813
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/12/2020,9/16/2020,Redfield & Wilton Strategies,636,lv,.5330805,0,47,48.01741,49.01899,"",69547,129565
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/11/2020,9/15/2020,Civiqs,704,rv,.6030517,0,51,50.54422,51.57916,"",69538,129547
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/7/2020,9/16/2020,Morning Consult,800,lv,.6169818,0,51,50.89425,51.90552,T,69522,129505
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/6/2020,9/15/2020,Morning Consult,800,lv,.06122,0,51,50.89425,51.91998,T,69497,129460
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/8/2020,9/13/2020,ABC News/The Washington Post,605,lv,1.322618,0,52,50.6925,51.74886,"",69475,129401
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/5/2020,9/14/2020,Morning Consult,809,lv,.0616588,0,51,50.89425,51.93488,T,69471,129393
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/9/2020,9/13/2020,SSRS,816,lv,1.146129,0,52,51.41158,52.45818,"",69463,129370
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/4/2020,9/13/2020,Morning Consult,774,lv,.0589839,0,50,49.89422,50.94962,T,69445,129341
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/3/2020,9/12/2020,Morning Consult,769,lv,.0588077,0,50,49.89422,50.96254,T,69427,129309
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/2/2020,9/11/2020,Morning Consult,797,lv,.0614033,0,50,49.89422,50.97343,T,69426,129308
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/8/2020,9/10/2020,Siena College/The New York Times Upshot,760,lv,1.589157,0,48,48.28539,49.37218,"",69419,129278
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/1/2020,9/10/2020,Morning Consult,797,lv,.0621099,0,50,49.89422,50.98387,T,69414,129271
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/31/2020,9/9/2020,Morning Consult,816,lv,.0646956,0,50,49.89422,50.99471,T,69404,129252
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/6/2020,9/8/2020,Emerson College,823,lv,1.410921,0,51.43,50.8417,51.93114,"",69403,129251
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/28/2020,9/8/2020,Benenson Strategy Group/GS Strategy Group,1200,lv,1.880784,0,50,50.08813,51.21952,"",68580,128407
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/30/2020,9/8/2020,Morning Consult,799,lv,.0646884,0,51,50.89425,52.0038,T,68570,128393
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/30/2020,9/3/2020,Marquette University Law School,688,lv,1.431371,0,48,48.00657,49.16397,"",68559,128354
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/4/2020,9/6/2020,Change Research,501,lv,.5475333,0,50,50.30263,51.41716,"",68538,128313
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/29/2020,9/7/2020,Morning Consult,791,lv,.0657301,0,51,50.89425,52.01276,T,68531,128298
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/30/2020,9/4/2020,Redfield & Wilton Strategies,670,lv,.6217971,0,50,51.01896,52.1629,"",68525,128290
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/28/2020,9/6/2020,Morning Consult,770,lv,.0660396,0,51,50.89425,52.01998,T,68503,128248
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/1/2020,9/2/2020,Rasmussen Reports/Pulse Opinion Research,1000,lv,1.034299,0,53.09,52.35239,53.49781,"",68499,128241
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/27/2020,9/5/2020,Morning Consult,763,lv,.0688391,0,50,49.89422,51.04217,T,68496,128232
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,9/2/2020,9/4/2020,YouGov,978,lv,1.16881,0,50,50.24316,51.39282,"",68495,128231
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/26/2020,9/4/2020,Morning Consult,775,lv,.0720719,0,51,50.89425,52.07323,T,68490,128220
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/25/2020,9/3/2020,Morning Consult,797,lv,.0763917,0,52,51.89432,53.0931,T,68488,128216
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/17/2020,8/20/2020,Hodas & Associates,600,lv,.7015365,0,51.91,51.30426,52.52092,"",68485,128206
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/24/2020,9/2/2020,Morning Consult,810,lv,.0799419,0,52,51.89432,53.11069,T,68471,128182
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/23/2020,9/1/2020,Morning Consult,809,lv,.0812179,0,52,51.89432,53.11823,T,68457,128143
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/22/2020,8/31/2020,Morning Consult,819,lv,.0840924,0,53,52.89445,54.12251,T,68456,128142
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/20/2020,8/29/2020,Morning Consult,797,lv,.0865649,0,51,50.89425,52.13351,T,68455,128141
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/19/2020,8/28/2020,Morning Consult,797,lv,.0889819,0,51,50.89425,52.13507,T,68454,128140
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/18/2020,8/27/2020,Morning Consult,797,lv,.0908002,0,52,51.89432,53.13537,T,68453,128139
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/17/2020,8/26/2020,Morning Consult,797,lv,.0870957,0,52,51.89432,53.12283,T,68452,128138
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/16/2020,8/25/2020,Morning Consult,797,lv,.0836143,0,51,50.89425,52.11685,T,68451,128137
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/15/2020,8/24/2020,Morning Consult,797,lv,.0807407,0,50,49.89422,51.11042,T,68450,128136
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/14/2020,8/23/2020,Morning Consult,797,lv,.0794119,0,51,50.89425,52.10292,T,68449,128135
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/13/2020,8/22/2020,Morning Consult,797,lv,.0786242,0,50,49.89422,51.09236,T,68448,128134
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/12/2020,8/21/2020,Morning Consult,797,lv,.0778953,0,50,49.89422,51.08231,T,68447,128133
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/11/2020,8/20/2020,Morning Consult,797,lv,.0674295,0,51,50.89425,52.03013,T,68446,128132
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/10/2020,8/19/2020,Morning Consult,797,lv,.0624365,0,51,50.89425,52.00256,T,68445,128131
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/9/2020,8/18/2020,Morning Consult,797,lv,.0581756,0,50,49.89422,50.98903,T,68444,128130
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/8/2020,8/17/2020,Morning Consult,797,lv,.0541751,0,48,47.89433,48.99516,T,68443,128129
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/6/2020,8/15/2020,Morning Consult,797,lv,.1051971,0,50,49.89422,51.00722,T,68442,128128
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/5/2020,8/14/2020,Morning Consult,797,lv,.0532087,0,50,49.89422,51.01278,T,68441,128127
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/4/2020,8/13/2020,Morning Consult,797,lv,.053966,0,50,49.89422,51.02211,T,68440,128126
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/3/2020,8/12/2020,Morning Consult,797,lv,.054839,0,50,49.89422,51.03509,T,68439,128125
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/2/2020,8/11/2020,Morning Consult,797,lv,.0572927,0,50,49.89422,51.07058,T,68438,128124
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,8/1/2020,8/10/2020,Morning Consult,797,lv,.0580641,0,50,49.89422,51.08231,T,68437,128123
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/31/2020,8/9/2020,Morning Consult,797,lv,.0588776,0,50,49.89422,51.09361,T,68436,128122
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/30/2020,8/8/2020,Morning Consult,797,lv,.0598521,0,51,50.89425,52.1032,T,68435,128121
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/29/2020,8/7/2020,Morning Consult,797,lv,.0608936,0,51,50.89425,52.11403,T,68434,128120
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/28/2020,8/6/2020,Morning Consult,797,lv,.0609195,0,51,50.89425,52.12651,T,68433,128119
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/27/2020,8/5/2020,Morning Consult,797,lv,.0608776,0,51,50.89425,52.14164,T,68432,128118
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/26/2020,8/4/2020,Morning Consult,797,lv,.0608964,0,51,50.89425,52.15436,T,68431,128117
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/25/2020,8/3/2020,Morning Consult,797,lv,.0609235,0,51,50.89425,52.16504,T,68430,128116
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/24/2020,8/2/2020,Morning Consult,797,lv,.0610143,0,52,51.89432,53.17508,T,68429,128115
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/23/2020,8/1/2020,Morning Consult,797,lv,.0612279,0,51,50.89425,52.18834,T,68428,128114
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/22/2020,7/31/2020,Morning Consult,797,lv,.0616187,0,50,49.89422,51.20121,T,68427,128113
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,7/21/2020,7/30/2020,Morning Consult,797,lv,.0620181,0,51,50.89425,52.21402,T,68426,128112
