cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,House,11/2/20,WV-2,Cathy Kunkel,Alex Mooney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,Natalie Cline,David McKinley,4,Expert ratings adjusted for national environment,-35.47207,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,Natalie Cline,David McKinley,3,Fundamentals (non-polling factors),-33.30175,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,Natalie Cline,David McKinley,2,CANTOR (analysis of comparable disticts),-35.78724,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-1,Natalie Cline,David McKinley,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,Amanda Stuck,Mike Gallagher,4,Expert ratings adjusted for national environment,-27.0813,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,Amanda Stuck,Mike Gallagher,3,Fundamentals (non-polling factors),-25.00927,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,Amanda Stuck,Mike Gallagher,2,CANTOR (analysis of comparable disticts),-18.888,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-8,Amanda Stuck,Mike Gallagher,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,Tricia Zunker,Thomas P. Tiffany,4,Expert ratings adjusted for national environment,-24.27839,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,Tricia Zunker,Thomas P. Tiffany,3,Fundamentals (non-polling factors),-15.55661,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,Tricia Zunker,Thomas P. Tiffany,2,CANTOR (analysis of comparable disticts),-19.95932,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-7,Tricia Zunker,Thomas P. Tiffany,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,Jessica J. King,Glenn Grothman,4,Expert ratings adjusted for national environment,-24.1221,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,Jessica J. King,Glenn Grothman,3,Fundamentals (non-polling factors),-17.79791,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,Jessica J. King,Glenn Grothman,2,CANTOR (analysis of comparable disticts),-19.66733,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-6,Jessica J. King,Glenn Grothman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,Tom Palzewicz,Scott Fitzgerald,4,Expert ratings adjusted for national environment,-24.92235,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,Tom Palzewicz,Scott Fitzgerald,3,Fundamentals (non-polling factors),-20.91213,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,Tom Palzewicz,Scott Fitzgerald,2,CANTOR (analysis of comparable disticts),-21.04523,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-5,Tom Palzewicz,Scott Fitzgerald,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,Gwen Moore,Tim Rogers,4,Expert ratings adjusted for national environment,52.10461,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,Gwen Moore,Tim Rogers,3,Fundamentals (non-polling factors),51.88425,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,Gwen Moore,Tim Rogers,2,CANTOR (analysis of comparable disticts),70.96313,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-4,Gwen Moore,Tim Rogers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,Ron Kind,Derrick Van Orden,4,Expert ratings adjusted for national environment,12.50344,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,Ron Kind,Derrick Van Orden,3,Fundamentals (non-polling factors),5.796027,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,Ron Kind,Derrick Van Orden,2,CANTOR (analysis of comparable disticts),14.08157,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-3,Ron Kind,Derrick Van Orden,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,Mark Pocan,Peter Theron,4,Expert ratings adjusted for national environment,45.12354,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,Mark Pocan,Peter Theron,3,Fundamentals (non-polling factors),45.7652,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,Mark Pocan,Peter Theron,2,CANTOR (analysis of comparable disticts),56.80571,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-2,Mark Pocan,Peter Theron,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,Roger Polack,Bryan Steil,4,Expert ratings adjusted for national environment,-24.1144,0,0,1.171692,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,Roger Polack,Bryan Steil,3,Fundamentals (non-polling factors),-21.17759,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,Roger Polack,Bryan Steil,2,CANTOR (analysis of comparable disticts),-8.05154,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WI-1,Roger Polack,Bryan Steil,1,Polls adjusted for house effects & other factors,-13.3568,.910181,.910181,.910181,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,Adam Smith,Doug Basler,4,Expert ratings adjusted for national environment,54.96886,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,Adam Smith,Doug Basler,3,Fundamentals (non-polling factors),55.84932,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,Adam Smith,Doug Basler,2,CANTOR (analysis of comparable disticts),70.03969,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-9,Adam Smith,Doug Basler,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-8,Kim Schrier,Jesse Jensen,4,Expert ratings adjusted for national environment,11.86377,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-8,Kim Schrier,Jesse Jensen,3,Fundamentals (non-polling factors),17.39998,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-8,Kim Schrier,Jesse Jensen,2,CANTOR (analysis of comparable disticts),23.90161,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-8,Kim Schrier,Jesse Jensen,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-7,Pramila Jayapal,Craig Keller,4,Expert ratings adjusted for national environment,71.67018,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-7,Pramila Jayapal,Craig Keller,3,Fundamentals (non-polling factors),72.45502,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-7,Pramila Jayapal,Craig Keller,2,CANTOR (analysis of comparable disticts),88.07703,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-7,Pramila Jayapal,Craig Keller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,4,Expert ratings adjusted for national environment,28.23162,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,3,Fundamentals (non-polling factors),29.39338,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,2,CANTOR (analysis of comparable disticts),36.33009,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-6,Derek Kilmer,Elizabeth Kreiselmaier,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,4,Expert ratings adjusted for national environment,-24.2535,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,3,Fundamentals (non-polling factors),-19.65156,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,2,CANTOR (analysis of comparable disticts),-9.385796,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-5,Dave Wilson,Cathy McMorris Rodgers,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-4,Douglas McKinley,Dan Newhouse,4,Expert ratings adjusted for national environment,-33.92071,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-4,Douglas McKinley,Dan Newhouse,3,Fundamentals (non-polling factors),-32.63373,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-4,Douglas McKinley,Dan Newhouse,2,CANTOR (analysis of comparable disticts),-22.81378,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-4,Douglas McKinley,Dan Newhouse,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-3,Carolyn Long,Jaime Herrera Beutler,4,Expert ratings adjusted for national environment,-8.546467,0,0,1.418092,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-3,Carolyn Long,Jaime Herrera Beutler,3,Fundamentals (non-polling factors),-6.268835,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-3,Carolyn Long,Jaime Herrera Beutler,2,CANTOR (analysis of comparable disticts),-.730944,.595793,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-3,Carolyn Long,Jaime Herrera Beutler,1,Polls adjusted for house effects & other factors,-5.476383,1.404207,1.404207,1.404207,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-2,Rick Larsen,Timothy Hazelo,4,Expert ratings adjusted for national environment,38.91224,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-2,Rick Larsen,Timothy Hazelo,3,Fundamentals (non-polling factors),40.30367,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-2,Rick Larsen,Timothy Hazelo,2,CANTOR (analysis of comparable disticts),46.70265,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-2,Rick Larsen,Timothy Hazelo,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,4,Expert ratings adjusted for national environment,25.06921,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,3,Fundamentals (non-polling factors),25.49073,0,1.342794,1.342794,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,2,CANTOR (analysis of comparable disticts),38.69594,.8358126,.0962403,.0962403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-1,Suzan DelBene,Jeffrey Beeler Sr.,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-10,Marilyn Strickland,Beth Doglio,4,Expert ratings adjusted for national environment,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-10,Marilyn Strickland,Beth Doglio,3,Fundamentals (non-polling factors),9.916275,0,1.439034,1.439034,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-10,Marilyn Strickland,Beth Doglio,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WA-10,Marilyn Strickland,Beth Doglio,1,Polls adjusted for house effects & other factors,21,.6534927,.6534927,.6534927,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VT-1,Peter Welch,Miriam Berry,4,Expert ratings adjusted for national environment,36.48286,0,0,1.197121,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VT-1,Peter Welch,Miriam Berry,3,Fundamentals (non-polling factors),38.18833,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VT-1,Peter Welch,Miriam Berry,2,CANTOR (analysis of comparable disticts),30.83368,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VT-1,Peter Welch,Miriam Berry,1,Polls adjusted for house effects & other factors,39.63123,.9611642,.9611642,.9611642,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-9,Cameron Dickerson,Morgan Griffith,4,Expert ratings adjusted for national environment,-67.33292,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-9,Cameron Dickerson,Morgan Griffith,3,Fundamentals (non-polling factors),-67.33292,1.439034,1.439034,1.439034,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-9,Cameron Dickerson,Morgan Griffith,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-9,Cameron Dickerson,Morgan Griffith,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-8,Don Beyer,Jeff Jordan,4,Expert ratings adjusted for national environment,54.46601,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-8,Don Beyer,Jeff Jordan,3,Fundamentals (non-polling factors),54.12574,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-8,Don Beyer,Jeff Jordan,2,CANTOR (analysis of comparable disticts),74.32191,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-8,Don Beyer,Jeff Jordan,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-7,Abigail Spanberger,Nick Freitas,4,Expert ratings adjusted for national environment,4.107485,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-7,Abigail Spanberger,Nick Freitas,3,Fundamentals (non-polling factors),6.804943,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-7,Abigail Spanberger,Nick Freitas,2,CANTOR (analysis of comparable disticts),14.91035,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-7,Abigail Spanberger,Nick Freitas,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-6,Nicholas Betts,Ben Cline,4,Expert ratings adjusted for national environment,-28.11042,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-6,Nicholas Betts,Ben Cline,3,Fundamentals (non-polling factors),-26.26605,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-6,Nicholas Betts,Ben Cline,2,CANTOR (analysis of comparable disticts),-20.45749,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-6,Nicholas Betts,Ben Cline,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-5,Cameron Webb,Bob Good,4,Expert ratings adjusted for national environment,-4.068564,0,0,1.684747,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-5,Cameron Webb,Bob Good,3,Fundamentals (non-polling factors),5.478346,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-5,Cameron Webb,Bob Good,2,CANTOR (analysis of comparable disticts),4.47962,.0611562,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-5,Cameron Webb,Bob Good,1,Polls adjusted for house effects & other factors,-.7656708,1.938844,1.938844,1.938844,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-4,A. Donald McEachin,Leon Benjamin,4,Expert ratings adjusted for national environment,24.01375,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-4,A. Donald McEachin,Leon Benjamin,3,Fundamentals (non-polling factors),22.21601,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-4,A. Donald McEachin,Leon Benjamin,2,CANTOR (analysis of comparable disticts),49.12088,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-4,A. Donald McEachin,Leon Benjamin,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-3,Robert C. Scott,John W. Collick,4,Expert ratings adjusted for national environment,38.05406,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-3,Robert C. Scott,John W. Collick,3,Fundamentals (non-polling factors),37.29706,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-3,Robert C. Scott,John W. Collick,2,CANTOR (analysis of comparable disticts),61.2528,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-3,Robert C. Scott,John W. Collick,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-2,Elaine Luria,Scott W. Taylor,4,Expert ratings adjusted for national environment,6.674727,0,0,1.616131,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-2,Elaine Luria,Scott W. Taylor,3,Fundamentals (non-polling factors),11.26734,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-2,Elaine Luria,Scott W. Taylor,2,CANTOR (analysis of comparable disticts),11.82264,.1987308,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-2,Elaine Luria,Scott W. Taylor,1,Polls adjusted for house effects & other factors,5.808578,1.801269,1.801269,1.801269,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-1,Qasim Rashid,Robert J. Wittman,4,Expert ratings adjusted for national environment,-26.16534,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-1,Qasim Rashid,Robert J. Wittman,3,Fundamentals (non-polling factors),-7.433113,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-1,Qasim Rashid,Robert J. Wittman,2,CANTOR (analysis of comparable disticts),-4.870673,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-1,Qasim Rashid,Robert J. Wittman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-11,Gerry Connolly,Manga Anantatmula,4,Expert ratings adjusted for national environment,43.70956,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-11,Gerry Connolly,Manga Anantatmula,3,Fundamentals (non-polling factors),43.41351,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-11,Gerry Connolly,Manga Anantatmula,2,CANTOR (analysis of comparable disticts),63.17414,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-11,Gerry Connolly,Manga Anantatmula,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-10,Jennifer Wexton,Aliscia Andrews,4,Expert ratings adjusted for national environment,20.51438,0,0,1.18774,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-10,Jennifer Wexton,Aliscia Andrews,3,Fundamentals (non-polling factors),18.76299,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-10,Jennifer Wexton,Aliscia Andrews,2,CANTOR (analysis of comparable disticts),18.89687,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,VA-10,Jennifer Wexton,Aliscia Andrews,1,Polls adjusted for house effects & other factors,18.08718,.9423568,.9423568,.9423568,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-4,Ben McAdams,Burgess Owens,4,Expert ratings adjusted for national environment,1.868534,0,0,1.498001,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-4,Ben McAdams,Burgess Owens,3,Fundamentals (non-polling factors),.9270474,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-4,Ben McAdams,Burgess Owens,2,CANTOR (analysis of comparable disticts),-3.230953,.4355774,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-4,Ben McAdams,Burgess Owens,1,Polls adjusted for house effects & other factors,.786602,1.564423,1.564423,1.564423,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-3,Devin Thorpe,John R. Curtis,4,Expert ratings adjusted for national environment,-33.3186,0,0,1.063528,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-3,Devin Thorpe,John R. Curtis,3,Fundamentals (non-polling factors),-32.76302,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-3,Devin Thorpe,John R. Curtis,2,CANTOR (analysis of comparable disticts),-25.96403,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-3,Devin Thorpe,John R. Curtis,1,Polls adjusted for house effects & other factors,-29.94429,.6933135,.6933135,.6933135,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-2,Kael Weston,Chris Stewart,4,Expert ratings adjusted for national environment,-24.16999,0,0,1.063528,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-2,Kael Weston,Chris Stewart,3,Fundamentals (non-polling factors),-18.44523,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-2,Kael Weston,Chris Stewart,2,CANTOR (analysis of comparable disticts),-15.6064,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-2,Kael Weston,Chris Stewart,1,Polls adjusted for house effects & other factors,-19.17905,.6933135,.6933135,.6933135,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-1,Darren Parry,Blake Moore,4,Expert ratings adjusted for national environment,-34.00045,0,0,1.063528,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-1,Darren Parry,Blake Moore,3,Fundamentals (non-polling factors),-36.50178,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-1,Darren Parry,Blake Moore,2,CANTOR (analysis of comparable disticts),-22.45354,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,UT-1,Darren Parry,Blake Moore,1,Polls adjusted for house effects & other factors,-25.97104,.6933135,.6933135,.6933135,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-9,Al Green,Johnny Teague,4,Expert ratings adjusted for national environment,58.28708,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-9,Al Green,Johnny Teague,3,Fundamentals (non-polling factors),57.80317,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-9,Al Green,Johnny Teague,2,CANTOR (analysis of comparable disticts),79.33717,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-9,Al Green,Johnny Teague,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-8,Elizabeth Hernandez,Kevin Brady,4,Expert ratings adjusted for national environment,-56.04176,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-8,Elizabeth Hernandez,Kevin Brady,3,Fundamentals (non-polling factors),-53.46799,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-8,Elizabeth Hernandez,Kevin Brady,2,CANTOR (analysis of comparable disticts),-60.39235,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-8,Elizabeth Hernandez,Kevin Brady,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-7,Lizzie Fletcher,Wesley Hunt,4,Expert ratings adjusted for national environment,10.2497,0,0,1.088403,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-7,Lizzie Fletcher,Wesley Hunt,3,Fundamentals (non-polling factors),.832388,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,TX-7,Lizzie Fletcher,Wesley Hunt,2,CANTOR (analysis of comparable disticts),3.488603,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
